Store URL;Category;Product URL;Name;Image URL;Large Image URL;Price;Original Price
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/konfety-shokoladnye-korkunov-assorti-iz-molochnogo-shokolada-165-g-1880560?sid=57;Конфеты шоколадные Коркунов Ассорти из молочного шоколада...;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzI0ODc2NDkyL29yaWdpbmFsLzEvMjAyMy0xMS0yNFQxNSUzQTM5JTNBMTUuMTUyNzU1JTJCMDAlM0EwMC8yNDg3NjQ5Ml8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzI0ODc2NDkyL29yaWdpbmFsLzEvMjAyMy0xMS0yNFQxNSUzQTM5JTNBMTUuMTUyNzU1JTJCMDAlM0EwMC8yNDg3NjQ5Ml8xLmpwZw==.jpg;Цена со скидкой за 1 шт.249,99 ₽;Цена без скидки за 1 шт.631,59 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/konfety-raffaello-s-tsel-nym-mindal-nym-orehom-v-kokosovoy-obsypke-100-g-686fba1?sid=57;Конфеты Raffaello с цельным миндальным орехом в кокосовой...;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzI3MjA0L29yaWdpbmFsLzEvMjAyMy0xMS0yNFQxNiUzQTI3JTNBMjcuNTk3MzM1JTJCMDAlM0EwMC8yNzIwNF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzI3MjA0L29yaWdpbmFsLzEvMjAyMy0xMS0yNFQxNiUzQTI3JTNBMjcuNTk3MzM1JTJCMDAlM0EwMC8yNzIwNF8xLmpwZw==.jpg;Цена со скидкой за 1 шт.299,99 ₽;Цена без скидки за 1 шт.314,69 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/konfety-shokoladnye-merci-assorti-iz-temnogo-shokolada-250-g-c7b6e81?sid=57;Конфеты шоколадные Merci Ассорти из темного шоколада 250 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE1ODc3L29yaWdpbmFsLzEvMjAyMy0xMS0yNFQxNiUzQTI0JTNBMjcuNzE2NDM5JTJCMDAlM0EwMC8xNTg3N18xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE1ODc3L29yaWdpbmFsLzEvMjAyMy0xMS0yNFQxNiUzQTI0JTNBMjcuNzE2NDM5JTJCMDAlM0EwMC8xNTg3N18xLmpwZw==.jpg;Цена со скидкой за 1 шт.279,99 ₽;Цена без скидки за 1 шт.473,69 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/shokolad-ritter-sport-molochnyy-lesnoy-oreh-100-g-ca51e9b?sid=57;Шоколад Ritter Sport молочный лесной орех 100 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzk0NTQxL29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ3JTNBNDcuNzQ5NDY4JTJCMDAlM0EwMC85NDU0MV8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzk0NTQxL29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ3JTNBNDcuNzQ5NDY4JTJCMDAlM0EwMC85NDU0MV8xLmpwZw==.jpg;Цена со скидкой за 1 шт.99,99 ₽;Цена без скидки за 1 шт.178,99 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/shokolad-ritter-sport-tsel-nyy-lesnoy-oreh-molochnyy-100-g?sid=57;Шоколад Ritter Sport Цельный лесной орех молочный 100 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzI0MjczMzM5L29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ5JTNBNDQuMDExODQ3JTJCMDAlM0EwMC8yNDI3MzMzOV8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzI0MjczMzM5L29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ5JTNBNDQuMDExODQ3JTJCMDAlM0EwMC8yNDI3MzMzOV8xLmpwZw==.jpg;Цена со скидкой за 1 шт.109,99 ₽;Цена без скидки за 1 шт.199,99 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/shokolad-ritter-sport-rom-izyum-oreh-molochnyy-100-g?sid=57;Шоколад Ritter Sport Ром, изюм, орех молочный 100 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE1Mjk2MjY3L29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ4JTNBNDIuODA4NTkzJTJCMDAlM0EwMC8xNTI5NjI2N18xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE1Mjk2MjY3L29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ4JTNBNDIuODA4NTkzJTJCMDAlM0EwMC8xNTI5NjI2N18xLmpwZw==.jpg;Цена со скидкой за 1 шт.99,99 ₽;Цена без скидки за 1 шт.178,99 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/shokolad-ritter-sport-temnyy-s-martsipanovoy-nachinkoy-100-g-88ecdc3?sid=57;Шоколад Ritter Sport темный с марципановой начинкой 100 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE4OTMzMjYzL29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ5JTNBMDYuNTU5ODQ0JTJCMDAlM0EwMC8xODkzMzI2M18xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE4OTMzMjYzL29yaWdpbmFsLzEvMjAyNC0wMi0yMFQwNyUzQTQ5JTNBMDYuNTU5ODQ0JTJCMDAlM0EwMC8xODkzMzI2M18xLmpwZw==.jpg;Цена со скидкой за 1 шт.99,99 ₽;Цена без скидки за 1 шт.178,99 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/shokolad-ritter-sport-al-piyskoe-moloko-molochnyy-100-g-dd145cd?sid=57;Шоколад Ritter Sport Альпийское молоко молочный 100 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE4OTM0MTM3L29yaWdpbmFsLzEvMjAyMy0xMS0yOFQxNyUzQTQ1JTNBNDQuMjEyMTk4JTJCMDAlM0EwMC8xODkzNDEzN18xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE4OTM0MTM3L29yaWdpbmFsLzEvMjAyMy0xMS0yOFQxNyUzQTQ1JTNBNDQuMjEyMTk4JTJCMDAlM0EwMC8xODkzNDEzN18xLmpwZw==.jpg;Цена со скидкой за 1 шт.99,99 ₽;Цена без скидки за 1 шт.178,99 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/shokolad-ritter-sport-karamel-nyy-muss-s-mindalem-molochnyy-100-g?sid=57;Шоколад Ritter Sport Карамельный мусс с миндалем молочный...;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzEzOTA2ODEvb3JpZ2luYWwvMS8yMDI0LTAyLTIwVDA3JTNBNDglM0EyNy40NDA5MjclMkIwMCUzQTAwLzEzOTA2ODFfMS5qcGc=.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzEzOTA2ODEvb3JpZ2luYWwvMS8yMDI0LTAyLTIwVDA3JTNBNDglM0EyNy40NDA5MjclMkIwMCUzQTAwLzEzOTA2ODFfMS5qcGc=.jpg;Цена со скидкой за 1 шт.99,99 ₽;Цена без скидки за 1 шт.178,99 ₽
https://sbermarket.ru/lenta/c/prazdnik-dlya-lyubimikh-ba54b96;;https://sbermarket.ru/lenta/shokolad-ritter-sport-temnyy-s-mindalem-i-apel-sinom-100-g-707b16a?sid=57;Шоколад Ritter Sport темный с миндалем и апельсином 100 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE0ODMzOTgvb3JpZ2luYWwvMS8yMDI0LTAyLTIwVDA3JTNBNDglM0EzMC4xMTI3MjglMkIwMCUzQTAwLzE0ODMzOThfMS5qcGc=.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE0ODMzOTgvb3JpZ2luYWwvMS8yMDI0LTAyLTIwVDA3JTNBNDglM0EzMC4xMTI3MjglMkIwMCUzQTAwLzE0ODMzOThfMS5qcGc=.jpg;Цена со скидкой за 1 шт.99,99 ₽;Цена без скидки за 1 шт.178,99 ₽
